Job Title,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_salary_estimate,Max_salary_estimate,HQ_city,HQ_state,Job_city,Job_state,Company_age,Avg_salary_estimate,Seniority
Data Modeler (Analytical Systems),3.7,MassMutual,5001-10000,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion ,112000,116000,Springfield, MA,Boston, MA,172,114000,Junior
Applied AI Scientist / Engineer,5.0,"New Iron Group, Inc.",1-50,2003,Contract,Computer Hardware & Software,Information Technology,N/A,112000,116000,Austin, TX,Boston, MA,20,114000,Junior
"Data Engineer (Analytics, SQL, Python, AWS)",4.0,Travelers,10000+,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion ,112000,116000,Hartford, CT,Hartford, CT,170,114000,Junior
Senior Data Analyst - Finance & Platform Analytics,3.6,Twitch,1001-5000,2011,Subsidiary or Business Segment,Internet,Information Technology,N/A,112000,116000,San Francisco, CA,San Francisco, CA,12,114000,Senior
Senior Data Scientist,4.8,Klaviyo,201-500,2012,Company - Private,Computer Hardware & Software,Information Technology,N/A,110000,163000,Boston, MA,Boston, MA,11,136500,Senior
Market Research Data Scientist,3.8,GutCheck,51-200,2009,Company - Private,Advertising & Marketing,Business Services,$10 - $25 million ,110000,163000,Denver, CO,Denver, CO,14,136500,Junior
IT Partner Digital Health Technology and Data Science,3.6,Biogen,5001-10000,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,110000,163000,Cambridge, MA,Cambridge, MA,45,136500,Junior
"Senior Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,501-1000,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,N/A,110000,163000,Chicago, IL,Redwood City, CA,8,136500,Senior
"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",4.1,Mentor Graphics,5001-10000,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 - $2 billion ,110000,163000,Wilsonville, OR,Fremont, CA,42,136500,Junior
Data Engineer,4.5,Kingfisher Systems,51-200,2005,Company - Private,Federal Agencies,Government,$25 - $50 million ,110000,163000,Falls Church, VA,Falls Church, VA,18,136500,Junior
Computer Vision / Deep Learning Scientist,3.3,Tempus Labs,501-1000,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,N/A,110000,163000,Chicago, IL,Chicago, IL,8,136500,Junior
Data Solutions Engineer - Data Modeler,3.4,Liberty Mutual Insurance,10000+,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion ,110000,163000,Boston, MA,Indianapolis, IN,111,136500,Junior
Data Scientist,4.3,Visionary Integration Professionals,501-1000,1996,Company - Private,IT Services,Information Technology,$100 - $500 million ,110000,163000,Folsom, CA,Washington, DC,27,136500,Junior
Weapons and Sensors Engineer/Scientist,4.0,Dynetics,1001-5000,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 - $500 million ,110000,163000,Huntsville, AL,Huntsville, AL,49,136500,Junior
Applied Computer Scientist,4.5,Systems & Technology Research,201-500,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 - $500 million ,110000,163000,Woburn, MA,Woburn, MA,13,136500,Junior
Senior Data Analyst,4.5,Novetta,501-1000,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 - $500 million ,110000,163000,Mc Lean, VA,Herndon, VA,11,136500,Senior
Cloud Data Engineer (Azure),3.9,Navy Federal Credit Union,10000+,1933,Other Organization,Banks & Credit Unions,Finance,N/A,110000,163000,Vienna, VA,Merrifield, VA,90,136500,Junior
"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",4.0,Exact Sciences Corporation,1001-5000,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 - $500 million ,110000,163000,Madison, WI,Madison, WI,28,136500,Junior
Sr. Data Analyst,3.6,Community Behavioral Health,201-500,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million - $1 billion ,110000,163000,Phila, PA,Philadelphia, PA,29,136500,Junior
Senior Scientist - Toxicologist - Product Integrity (Stewardship),3.3,Reynolds American,5001-10000,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion ,110000,163000,Winston-Salem, NC,Winston-Salem, NC,148,136500,Senior
Senior Machine Learning Engineer,5.0,LifeOmic,51-200,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,N/A,110000,163000,Indianapolis, IN,Raleigh, NC,7,136500,Senior
Product Data Scientist - Ads Data Science,4.1,Twitter,1001-5000,2006,Company - Public,Internet,Information Technology,$2 - $5 billion ,124000,198000,San Francisco, CA,San Francisco, CA,17,161000,Junior
Data Scientist,3.2,Postmates - Corporate HQ,1001-5000,2011,Company - Private,Express Delivery Services,Transportation & Logistics,N/A,124000,198000,San Francisco, CA,San Francisco, CA,12,161000,Junior
Data Scientist,4.9,"Visionist, Inc.",51-200,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 - $25 million ,124000,198000,Columbia, MD,Columbia, MD,13,161000,Junior
Data Scientist,3.3,Concerto HealthAI,201-500,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,N/A,124000,198000,Boston, MA,Boston, MA,5,161000,Junior
Data Scientist,5.0,Royce Geospatial,51-200,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 - $25 million ,124000,198000,Arlington, VA,Springfield, VA,9,161000,Junior
Data Scientist,4.2,CyberCoders,201-500,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 - $500 million ,124000,198000,Irvine, CA,Phoenix, AZ,24,161000,Junior
Data Scientist,3.7,Booz Allen Hamilton Inc.,10000+,1914,Company - Public,Consulting,Business Services,$5 - $10 billion ,124000,198000,Mc Lean, VA,Oxnard, CA,109,161000,Junior
Data Scientist,3.8,Burns & McDonnell,5001-10000,1898,Company - Private,Architectural & Engineering Services,Business Services,$1 - $2 billion ,124000,198000,Kansas City, MO,Kansas City, MO,125,161000,Junior
Data Scientist,4.8,InvenTech Info,201-500,2010,Company - Private,IT Services,Information Technology,$1 - $5 million ,124000,198000,Bengaluru, India,Jersey City, NJ,13,161000,Junior
Data Scientist,3.5,Robert Half,10000+,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 - $5 billion ,124000,198000,Menlo Park, CA,Manchester, NH,75,161000,Junior
Analytics - Business Assurance Data Analyst,4.6,GreatAmerica Financial Services,501-1000,1992,Company - Private,Lending,Finance,$100 - $500 million ,124000,198000,Cedar Rapids, IA,Cedar Rapids, IA,31,161000,Junior
Data Scientist,3.9,Criteo,1001-5000,2005,Company - Public,Internet,Information Technology,$2 - $5 billion ,124000,198000,Paris, France,Ann Arbor, MI,18,161000,Junior
Data Scientist,4.1,Coverent,51-200,2008,Company - Private,Consulting,Business Services,$10 - $25 million ,124000,198000,McLean, VA,McLean, VA,15,161000,Junior
Data Scientist,3.7,Via Transportation,501-1000,2012,Company - Private,Internet,Information Technology,N/A,79000,133000,New York, NY,New York, NY,11,106000,Junior
Senior Data Scientist,3.5,Benson Hill,201-500,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 - $5 million ,79000,133000,Saint Louis, MO,Saint Louis, MO,11,106000,Senior
Data Engineer,4.4,Rocket Lawyer,51-200,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 - $100 million ,79000,133000,San Francisco, CA,San Francisco, CA,15,106000,Junior
Data Scientist,3.1,Werner Enterprises Inc,10000+,1956,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$2 - $5 billion ,79000,133000,Omaha, NE,Omaha, NE,67,106000,Junior
Data Scientist - Machine Learning,5.0,VANTA Partners,1-50,2018,Company - Private,Staffing & Outsourcing,Business Services,N/A,79000,133000,Clifton Park, NY,Open Fork, VA,5,106000,Junior
Data Scientist,3.5,"Farmer's Business Network, Inc.",201-500,2014,Company - Private,Farm Support Services,Agriculture & Forestry,N/A,79000,133000,San Carlos, CA,San Carlos, CA,9,106000,Junior
Data Scientist,2.7,Change Healthcare,10000+,2007,Company - Public,IT Services,Information Technology,N/A,79000,133000,Nashville, TN,Lombard, IL,16,106000,Junior
Data Scientist,4.1,DCS Corp,1001-5000,1977,Company - Private,Research & Development,Business Services,$100 - $500 million ,79000,133000,Alexandria, VA,Hampton, VA,46,106000,Junior
Data Scientist,2.1,Hive (CA),Unknown,2019,Company - Private,Telecommunications Services,Telecommunications,N/A,79000,133000,Los Angeles, CA,San Francisco, CA,4,106000,Junior
Machine Learning Engineer/Scientist,4.8,Jane Street,501-1000,2000,Company - Private,Investment Banking & Asset Management,Finance,N/A,79000,133000,New York, NY,New York, NY,23,106000,Junior
Data Scientist - Intermediate,4.5,Envision LLC,201-500,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 - $50 million ,69000,116000,Saint Louis, MO,Saint Louis, MO,29,92500,Junior
Principal Data Scientist,4.0,Autodesk,5001-10000,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 - $5 billion ,69000,116000,San Rafael, CA,San Francisco, CA,41,92500,Junior
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",3.9,Novartis,10000+,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,69000,116000,Basel, Switzerland,Cambridge, MA,27,92500,Senior
Data Scientist,3.2,Net2Source Inc.,1001-5000,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 - $500 million ,69000,116000,Somerset, NJ,Alpharetta, GA,16,92500,Junior
Data Scientist,3.2,The Trade Desk,1001-5000,2009,Company - Public,Internet,Information Technology,N/A,69000,116000,Ventura, CA,Boulder, CO,14,92500,Junior
Data Scientist- Industrial Discrete Sector Industry,3.7,IBM,10000+,1911,Company - Public,IT Services,Information Technology,$10+ billion ,69000,116000,Armonk, NY,Atlanta, GA,112,92500,Junior
Data Scientist,4.4,Knowesis Inc.,51-200,2007,Company - Private,Consulting,Business Services,$25 - $50 million ,69000,116000,Fairfax, VA,Falls Church, VA,16,92500,Junior
Data Scientist,3.1,MoTek Technologies,1-50,2009,Company - Private,IT Services,Information Technology,$1 - $5 million ,69000,116000,San Jose, CA,Mountain View, CA,14,92500,Junior
Data Scientist,3.3,The Davey Tree Expert Company,10000+,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 - $2 billion ,69000,116000,Kent, OH,Kent, OH,143,92500,Junior
Data Scientist,3.5,HPOne,501-1000,2006,Company - Private,Insurance Carriers,Insurance,$50 - $100 million ,69000,116000,Trumbull, CT,Trumbull, CT,17,92500,Junior
Machine Learning Engineer,2.6,Software Engineering Institute,501-1000,1984,College / University,Colleges & Universities,Education,N/A,69000,116000,Pittsburgh, PA,Pittsburgh, PA,39,92500,Junior
Data Scientist,2.7,TBWA\Chiat\Day,1001-5000,1968,Company - Public,Advertising & Marketing,Business Services,$100 - $500 million ,69000,116000,New York, NY,New York, NY,55,92500,Junior
Data Scientist,3.5,ThreeBridge Solutions,501-1000,2009,Company - Private,Consulting,Business Services,N/A,69000,116000,Minneapolis, MN,Alpharetta, GA,14,92500,Junior
Data Analyst - Unilever Prestige,3.8,Dermalogica,201-500,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 - $500 million ,69000,116000,Carson, CA,Carson, CA,37,92500,Junior
Data Scientist,4.8,TechProjects,1-50,2011,Company - Private,IT Services,Information Technology,N/A,69000,116000,North Brunswick, NJ,New York, NY,12,92500,Junior
Data Scientist,4.2,DW Simpson,51-200,1989,Company - Private,Staffing & Outsourcing,Business Services,$10 - $25 million ,69000,116000,Chicago, IL,Frederick, MD,34,92500,Junior
Data & Machine Learning Scientist,3.3,Tempus Labs,501-1000,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,N/A,31000,56000,Chicago, IL,Chicago, IL,8,43500,Junior
Data Scientist,4.0,Grid Dynamics,1001-5000,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 - $100 million ,31000,56000,San Ramon, CA,Santa Clara, CA,17,43500,Junior
"VP, Data Science",3.9,7Park Data,51-200,2012,Company - Private,Research & Development,Business Services,N/A,31000,56000,New York, NY,New York, NY,11,43500,Junior
Senior Business Intelligence Analyst,3.7,Protolabs,1001-5000,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 - $500 million ,31000,56000,Maple Plain, MN,Maple Plain, MN,24,43500,Senior
Data Scientist,3.9,LinQuest,501-1000,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 - $100 million ,31000,56000,Los Angeles, CA,Colorado Springs, CO,19,43500,Junior
Data Engineer - Kafka,3.5,Western Digital,10000+,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion ,31000,56000,San Jose, CA,San Jose, CA,53,43500,Junior
Data Scientist,4.0,Trexquant Investment,1-50,2012,Company - Private,Investment Banking & Asset Management,Finance,N/A,31000,56000,Stamford, CT,United States,,11,43500,Junior
Data Scientist,3.0,Ameritas Life Insurance Corp,1001-5000,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 - $5 billion ,31000,56000,Lincoln, NE,Cincinnati, OH,136,43500,Junior
Data Scientist,3.7,Fleetcor,5001-10000,2000,Company - Public,Financial Transaction Processing,Finance,$2 - $5 billion ,31000,56000,Atlanta, GA,Atlanta, GA,23,43500,Junior
Data Scientist,2.8,Child Care Aware of America,51-200,1987,Nonprofit Organization,Social Assistance,Non-Profit,$25 - $50 million ,31000,56000,Arlington, VA,Arlington, VA,36,43500,Junior
In-Line Inspection Data Analyst,2.9,Quest Integrity,201-500,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 - $100 million ,31000,56000,Kent, WA,Tulsa, OK,27,43500,Junior
Data Scientist,4.7,Praxis Engineering,201-500,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 - $500 million ,31000,56000,Annapolis Junction, MD,Chantilly, VA,21,43500,Junior
Data Scientist,3.4,USI,1001-5000,1998,Company - Private,Construction,"Construction, Repair & Maintenance",$100 - $500 million ,31000,56000,Saint Paul, MN,Southfield, MI,25,43500,Junior
Data Scientist,3.9,Apex Systems,1001-5000,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 - $5 billion ,31000,56000,Glen Allen, VA,San Francisco, CA,28,43500,Junior
Data Scientist,2.9,"Pragmatics, Inc.",201-500,1985,Company - Private,IT Services,Information Technology,$100 - $500 million ,31000,56000,Reston, VA,United States,,38,43500,Junior
Decision Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,5001-10000,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 - $2 billion ,31000,56000,Laurel, MD,Laurel, MD,81,43500,Junior
Data Scientist,4.9,Cambridge Mobile Telematics,1-50,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,N/A,31000,56000,Cambridge, MA,Cambridge, MA,13,43500,Junior
Data Scientist - TS/SCI FSP or CI Required,5.0,Phoenix Operations Group,1-50,2011,Company - Private,IT Services,Information Technology,$1 - $5 million ,31000,56000,Woodbine, MD,Annapolis Junction, MD,12,43500,Junior
"Data Scientist, Applied Machine Learning - Bay Area",3.3,Tempus Labs,501-1000,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,N/A,95000,119000,Chicago, IL,Redwood City, CA,8,107000,Junior
Data Scientist,3.5,The Knot Worldwide,1001-5000,2019,Company - Private,Internet,Information Technology,N/A,95000,119000,Chevy Chase, MD,Washington, DC,4,107000,Junior
Data Scientist,3.5,Crossover Health,1-50,2010,Company - Private,Health Care Services & Hospitals,Health Care,$1 - $5 million ,95000,119000,Aliso Viejo, CA,San Clemente, CA,13,107000,Junior
Data Analyst,3.9,Nolij Consulting,51-200,2012,Company - Public,Consulting,Business Services,$1 - $5 million ,95000,119000,Vienna, VA,Falls Church, VA,11,107000,Junior
Data Scientist,3.4,Dice.com,201-500,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 - $500 million ,95000,119000,Denver, CO,Newton, MA,33,107000,Junior
Data Scientist,3.5,Gap Inc.,10000+,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion ,95000,119000,San Francisco, CA,San Francisco, CA,54,107000,Junior
Data Scientist,4.6,Murray Resources,1-50,1988,Company - Private,Staffing & Outsourcing,Business Services,$10 - $25 million ,95000,119000,Houston, TX,The Woodlands, TX,35,107000,Junior
Data Scientist,4.0,New York Technology Partners,51-200,1999,Company - Private,Computer Hardware & Software,Information Technology,$10 - $25 million ,95000,119000,Jersey City, NJ,Seattle, WA,24,107000,Junior
Data Scientist,4.7,CRS Group,51-200,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 - $25 million ,95000,119000,Itasca, IL,Chicago, IL,29,107000,Junior
Data Scientist,3.5,Blackstone Talent Group,51-200,1998,Company - Private,Consulting,Business Services,$25 - $50 million ,95000,119000,San Francisco, CA,San Francisco, CA,25,107000,Junior
Data Scientist - TS/SCI Required,5.0,Phoenix Operations Group,1-50,2011,Company - Private,IT Services,Information Technology,$1 - $5 million ,95000,119000,Woodbine, MD,Baltimore, MD,12,107000,Junior
Senior Principal Data Scientist (Python/R),4.1,Roche,10000+,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,212000,331000,Basel, Switzerland,Pleasanton, CA,127,271500,Senior
"Real World Science, Data Scientist",4.0,AstraZeneca,10000+,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,212000,331000,Cambridge, United Kingdom,Wilmington, DE,110,271500,Junior
Data Scientist,3.6,Creative Circle,201-500,2002,Company - Public,Staffing & Outsourcing,Business Services,N/A,212000,331000,Los Angeles, CA,United States,,21,271500,Junior
Data Scientist(s)/Machine Learning Engineer,5.0,Blue Horizon Tek Solutions,1-50,1987,Company - Private,Staffing & Outsourcing,Business Services,N/A,212000,331000,Coconut Creek, FL,New York, NY,36,271500,Junior
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,3.9,Southwest Research Institute,1001-5000,1947,Nonprofit Organization,Research & Development,Business Services,$500 million - $1 billion ,212000,331000,San Antonio, TX,Oklahoma City, OK,76,271500,Junior
Data Scientist,2.7,Hexagon US Federal,51-200,2010,Company - Public,Aerospace & Defense,Aerospace & Defense,N/A,212000,331000,Chantilly, VA,Lexington Park, MD,13,271500,Junior
